name	phone	email	email_host	website	category	address	city	region	zip	country	google_rank	facebook	instagram	twitter	linkedin	googlestars	googlereviewscount	yelpstars	yelpreviewscount	facebookstars	facebookreviewscount	facebookpixel	googlepixel	criteopixel	seo_schema	googleanalytics	linkedinanalytics	uses_wordpress	mobilefriendly	uses_shopify	domain_registration	domain_expiration	domain_registrar	domain_nameserver	instagram_name	instagram_is_verified	instagram_is_business_account	instagram_media_count	instagram_highlight_reel_count	instagram_followers	instagram_following	instagram_category	instagram_average_likes	instagram_average_comments	ads_yelp	ads_facebook	ads_instagram	ads_messenger	ads_adwords	g_maps_claimed	g_maps	search_keyword	search_city
name,phone,email,email_host,website,category,address,city,region,zip,country,google_rank,facebook,instagram,twitter,linkedin,googlestars,googlereviewscount,yelpstars,yelpreviewscount,facebookstars,facebookreviewscount,facebookpixel,googlepixel,criteopixel,seo_schema,googleanalytics,linkedinanalytics,uses_wordpress,mobilefriendly,uses_shopify,domain_registration,domain_expiration,domain_registrar,domain_nameserver,instagram_name,instagram_is_verified,instagram_is_business_account,instagram_media_count,instagram_highlight_reel_count,instagram_followers,instagram_following,instagram_category,instagram_average_likes,instagram_average_comments,ads_yelp,ads_facebook,ads_instagram,ads_messenger,ads_adwords,g_maps_claimed,g_maps,search_keyword,search_city
Shaadi Capture - Wedding Photography Melbourne,61470563288,shaadicapture@gmail.com,google.com,https://www.shaadicapture.com/,Wedding photographer,Somerset Place,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/shaadicapture,https://www.twitter.com/shaadicapture,https://www.linkedin.com/company/shaadi-capture,4.9,59,,,,,y,y,n,y,y,n,y,y,n,2013-08-10,2026-08-10,GoDaddy.com,bluehost.com,Shaadi Capture,,1,223,,7739,157,Food & Personal Goods,124,2,,,,,,https://g.page/ShaadiCapture,claimed,Photographers,Melbourne
Theodore & Co.,61393300064,hello@theodoreandco.com.au,google.com,http://theodoreandco.com.au/,Wedding photographer,Burke St,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/theodoreandco_,,,5,64,,,,,n,y,n,y,y,n,y,y,n,,,,,Theodore & Co Photographers,,1,496,27,8266,1974,Creators & Celebrities,308,32,,,,,,"https://maps.google.com/maps/place/Theodore+&+Co./@-37.814229999999995,144.9632071,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x154401E26E230595!8m2!3d-37.814229999999995!4d144.9632071",claimed,Photographers,Melbourne
We Shoot Buildings Pty Ltd,61400825598,grant.kennedy@weshootbuildings.com.au,hostyourservices.net,http://www.weshootbuildings.com.au/,Photographer,Galleria Arcade,Melbourne,Victoria,3000,AU,,,,,,5,4,,,,,y,y,n,y,y,n,y,y,n,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/We+Shoot+Buildings+Pty+Ltd/@-37.8145307,144.96271579999998,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x38707F15ECC05FB9!8m2!3d-37.8145307!4d144.96271579999998",claimed,Photographers,Melbourne
Corporate Photography Melbourne,61431430798,info@corporatephotographymelbourne.com,hostingplatform.net.au,http://corporatephotographymelbourne.com/,Photographer,422 Collins St,Melbourne,Victoria,3000,AU,,,,,,4,2,,,,,n,y,n,y,y,n,y,y,n,2012-05-31,2023-05-31,Dreamscape Networks International Pte Ltd,cloudflare.com,,,,,,,,,,,,,,,,https://g.page/corporate-photography-melbourne,claimed,Photographers,Melbourne
Swagger Photography,61401602541,info@swaggerphotography.com.au,siteground.com,https://www.swaggerphotography.com.au/,Photographer,Queen St,Melbourne,Victoria,3000,AU,77,,https://www.instagram.com/swaggerphotographyaustralia,https://www.twitter.com/photoswagger,https://www.linkedin.com/in/alistair-fletcher-8617808,5,17,,,,,n,y,n,y,y,n,y,y,n,,,,,Swagger Photography,,1,510,,10137,1368,Creators & Celebrities,16,1,,,,,,https://g.page/swaggerphotographyaustralia,claimed,Photographers,Melbourne
Will Chao Photography,61420955243,will@willchaophotography.com,google.com,http://willchaophotography.com/,Movie studio,Welsh Church,Melbourne,Victoria,2616,AU,,,https://www.instagram.com/reel,,,4.8,53,,,,,n,n,n,y,n,n,n,y,n,2012-07-01,2023-07-01,GoDaddy.com,domaincontrol.com,Reel Travel Magazine,,1,,1,3599650,112,,95355,437,,,,,,"https://maps.google.com/maps/place/Will+Chao+Photography/@-37.668408899999996,145.0353206,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x6AA2E98D0A0AFF8E!8m2!3d-37.668408899999996!4d145.0353206",claimed,Photographers,Melbourne
TREE STUDIO,61420296586,hello@treephotovideo.net.au,google.com,https://www.treephotovideo.net.au/,Wedding photographer,Cycling Edge,Melbourne,Victoria,3205,AU,40,https://www.facebook.com/treephotoandvideostudio,https://www.instagram.com/treephotovideostudio,,,4.7,56,,,4.7,26,y,y,n,y,y,n,y,y,n,,,,,Melbourne Wedding Photographer,,1,736,4,3229,92,Home Services,11,1,,1,1,,,https://g.page/TREESTUDIO,claimed,Photographers,Melbourne
The Melbourne Headshot Company,61396421656,info@headshot.com.au,google.com,https://headshot.com.au/,Portrait studio,608/343 Little Collins St,Melbourne,Victoria,3000,AU,,https://www.facebook.com/melbourneheadshotcompany,https://www.instagram.com/melbourneheadshotcompany,,https://www.linkedin.com/in/melbourneheadshotcompany,5,144,,,5,26,n,y,n,y,y,n,y,y,n,,,,,The Melbourne Headshot Company,,,55,1,216,63,,7,1,,,,,,"https://maps.google.com/maps/place/The+Melbourne+Headshot+Company/@-37.8154536,144.9634297,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xEC37734DC4D55B6C!8m2!3d-37.8154536!4d144.9634297",claimed,Photographers,Melbourne
Man With A Camera Photography,61450586561,simon@manwithacamera.com.au,hostyourservices.net,https://www.manwithacamera.com.au/,Photographer,Exchange Tower,Melbourne,Victoria,3000,AU,31,,https://www.instagram.com/camerawithaman,https://www.twitter.com/camerawithaman,https://www.linkedin.com/company/man-with-a-camera,5,19,,,,,n,y,n,y,y,n,y,y,n,,,,,Simon Woodcock,,1,35,1,141,156,Creators & Celebrities,38,2,,,,,,https://g.page/photographermelbourne,claimed,Photographers,Melbourne
Boudoir Pinup & Nude Photography Melbourne,61408998107,,,https://www.michaelritterphotography.com.au/boudoir-photography/,Photographer,Sparkling Dinner,Melbourne,Victoria,3000,AU,,,,,,5,18,,,,,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Boudoir+Pinup+&+Nude+Photography+Melbourne/@-37.815615,144.962737,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x67F092AE26353B85!8m2!3d-37.815615!4d144.962737",claimed,Photographers,Melbourne
Epifanidis Photography,61403278516,nik@nikepifanidis.com.au,isyncsecure.com,http://www.nikepifanidis.com.au/,Photography service,100 Photography Dr,Melbourne,Victoria,3058,AU,,,,https://www.twitter.com/nikepifanidis,,,,,,,,n,y,n,n,y,n,n,y,n,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Epifanidis+Photography/@-37.8136216,144.9630765,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xED585A00A1F361E!8m2!3d-37.8136216!4d144.9630765",unclaimed,Photographers,Melbourne
Wedding Snapper,61450586561,simon@weddingsnapper.com.au,hostyourservices.net,https://www.weddingsnapper.com.au/,Wedding photographer,Exchange Tower,Melbourne,Victoria,3000,AU,,https://www.facebook.com/weddingphotographymelbournevic,https://www.instagram.com/weddingsnappermelbourne,https://www.twitter.com/weddingsnapper,https://www.linkedin.com/company/wedding-snapper-photography,5,40,5,2,,,n,y,n,y,y,n,y,y,n,,,,,Wedding Snapper,,1,98,,818,272,Creators & Celebrities,98,2,,,,,,https://g.page/weddingphotographersmelbourne,claimed,Photographers,Melbourne
DUÜET,61457499358,pearlyhairstylist@gmail.com,google.com,http://www.duuet.com.au/,Wedding photographer,Park Street,Melbourne,Victoria,3205,AU,30,https://www.facebook.com/duuetwedding,https://www.instagram.com/duuetweddings,,,4.8,203,,,4.8,125,y,y,n,y,y,n,y,y,n,,,,,Duueet Melbourne,,1,1182,81,18463,3574,General Interest,46,5,,1,,,,"https://maps.google.com/maps/place/DUÜET/@-37.8356905,144.9593734,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x434121E3A174B705!8m2!3d-37.8356905!4d144.9593734",claimed,Photographers,Melbourne
Melbourne Photographer,61403278516,,,http://www.melbournephotographer.net/,Photographer,1/377 Little Bourke St,Melbourne,Victoria,3000,AU,,,,,,,,,,,,n,n,n,n,n,n,n,n,n,2020-09-26,2023-09-26,IONOS SE,ui-dns.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Melbourne+Photographer/@-37.813676,144.961571,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xACBC9399A17B9261!8m2!3d-37.813676!4d144.961571",unclaimed,Photographers,Melbourne
Clarte Photography,61423402066,contact@clartephoto.com,jellyfish.systems,http://clartephoto.com/,Photographer,11/125 Swanston St,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/jedavu_mua,,,4.9,30,,,,,n,n,n,y,y,n,y,y,n,2012-04-07,2024-04-07,NameCheap,namecheaphosting.com,J E D A  V U  MAKEUP ARTISTRY,,1,703,,1828,1754,Creators & Celebrities,45,5,,,,,,"https://maps.google.com/maps/place/Clarte+Photography/@-37.814682999999995,144.965948,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xEA1ACE17D54210C2!8m2!3d-37.814682999999995!4d144.965948",claimed,Photographers,Melbourne
Tstudioz Photography,61420576976,tstudioz@outlook.com,outlook.com,https://www.tstudiozphoto.com/,Photography studio,Melbourne VIC 3000,Melbourne,Victoria,3000,AU,,https://www.facebook.com/perera.tharidu,,,https://www.linkedin.com/in/thariduperera,5,5,,,,,n,y,n,n,n,n,n,y,n,2018-12-11,2024-12-11,Network Solutions,wixdns.net,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Tstudioz+Photography/@-37.8136216,144.9630765,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xC675EB6447851D7B!8m2!3d-37.8136216!4d144.9630765",claimed,Photographers,Melbourne
Lizzy C Photography,61390171816,info@lizzyc.com.au,google.com,http://www.lizzyc.com.au/,Photographer,79 Ireland St,Melbourne,Victoria,3003,AU,69,,https://www.instagram.com/lizzycphoto,https://www.twitter.com/lizzycphoto,,5,55,,,,,y,n,n,y,n,n,y,y,n,,,,,Elizabeth Bull,,,1316,6,550,621,,22,3,,,,,,https://g.page/lizzycphoto,claimed,Photographers,Melbourne
Dreamlife Wedding Photography & Video (Melbourne),61396631880,melbourne@dreamlife.net.au,google.com,http://www.dreamlife.net.au/,Photography studio,Grant Lane,Melbourne,Victoria,3000,AU,,https://www.facebook.com/dreamlifesydney,https://www.instagram.com/sydneyweddingdreamlife,,https://www.linkedin.com/company/dreamlife-photos-&-video,4.7,60,,,,67,n,y,n,y,y,n,y,y,n,,,,,Dreamlife Photos & Video,,1,2070,2,7353,2122,Personal Goods & General Merchandise Stores,11,,,,,,,https://g.page/Dreamlife-photography,claimed,Photographers,Melbourne
Freelance Photographer Melbourne,61388041388,stav.saka@gmail.com,google.com,https://www.freelancephotographermelbourne.com.au/,Photographer,57/53 Cambridge St,Collingwood,Victoria,3066,AU,12,,https://www.instagram.com/stavrofoto,,,4.9,33,,,,,n,n,n,y,n,n,n,y,n,,,,,Stavros Sakellaris,,1,244,6,493,529,Food & Personal Goods,29,5,,,,,,https://g.page/freelance-photographer-melbourne,claimed,Photographers,Melbourne
Dijana Risteska,61402787572,info@dijanar.com,outlook.com,https://dijanar.com/,Photographer,Nicholas Building,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/dijana.risteska,,https://www.linkedin.com/in/dijanaristeska,5,11,,,,,n,y,n,y,y,n,y,y,n,2011-12-13,2023-12-13,GoDaddy.com,siteground.us,Diana Risteski,1,1,,10,779,1940,,359,16,,,,,,"https://maps.google.com/maps/place/Dijana+Risteska/@-37.8167255,144.9667643,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xD637AEC53AB8B998!8m2!3d-37.8167255!4d144.9667643",claimed,Photographers,Melbourne
ATEIA Photography Wedding Photography Melbourne,61,info@ateiaphotography.com.au,mailcluster.com.au,https://www.ateiaphotography.com.au/,Wedding photographer,Montague Street,Melbourne,Victoria,2001,AU,38,,https://www.instagram.com/ateiaphotography,,,5,257,,,,,n,n,n,y,y,n,y,y,n,,,,,Wedding Photography & Video,,1,2943,12,6665,844,Creators & Celebrities,27,3,,,,,,https://g.page/ateiaphotography,claimed,Photographers,Melbourne
MARK GRAY Photography Courses,61359755558,mornington@markgray.com.au,web-servers.com.au,http://www.markgray.com.au/photography-courses/melbourne.php,Photography class,440/9 Little Collins St,Melbourne,Victoria,3000,AU,,,https://www.instagram.com/markgrayphoto,,,5,14,,,,,y,n,n,n,y,n,n,n,n,,,,,Mark Gray,,,230,3,12408,1808,,444,23,,,,,,https://g.page/markgraymelbourne,claimed,Photographers,Melbourne
